Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Origin (product.metafields.custom.origin),Harvest region (product.metafields.custom.harvest_region),Producer (product.metafields.custom.producer),Harvest (product.metafields.custom.harvest),Visibility (product.metafields.custom.visibility),Packaging (product.metafields.custom.packaging),Gift ready (product.metafields.custom.gift_ready),Bulk packs (product.metafields.custom.bulk_packs),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Condition,Google Shopping / Custom product
Medjool Dates — Al Kufra Valley,medjool-dates-al-kufra,"<p>Hand-selected Medjool dates from the deep southern groves of Al Kufra Valley — where desert heat sculpts each fruit into concentrated sweetness. Soft caramel richness, a dense syrup-like texture, and a lingering finish that speaks of ancient palm cultivation.</p><p><strong>Origin:</strong> Al Kufra Valley, Libya<br><strong>Harvest:</strong> 2025<br><strong>Packaging:</strong> Ceramic vessel<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p><p>Store in a cool, dry place. Best enjoyed within six months of opening.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Medjool Dates,"dates, featured, medjool, desert-harvest, luxury-food, mediterranean",TRUE,Active,ORV-DATE-MED-500,,Size,500g,,,,,,,,68.00,78.00,30.00,TRUE,,500,g,500,g,shopify,120,DENY,550,g,TRUE,manual,https://images.unsplash.com/photo-1742204618752-295ed6d4b5e0,1,Medjool dates from Al Kufra Valley in a ceramic bowl,,FALSE,Medjool Dates Al Kufra Valley | Premium Desert Dates | Orivana,"Hand-selected Medjool dates from Al Kufra Valley, Libya. Soft caramel richness and syrup-like texture. Luxury Mediterranean dates, manually fulfilled by Orivana.","Al Kufra Valley, Libya",Southern Libyan Desert,Oasis Palm Collective,2025,public,Ceramic Vessel,false,"[{""label"":""5kg Case"",""quantity"":5,""unit"":""kg""},{""label"":""10kg Case"",""quantity"":10,""unit"":""kg""},{""label"":""25kg Case"",""quantity"":25,""unit"":""kg""}]","Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
,medjool-dates-al-kufra,,,,,,,,ORV-DATE-MED-1000,,,1kg,,,,,,,,118.00,135.00,52.00,TRUE,,1000,g,1000,g,shopify,80,DENY,1100,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,
,medjool-dates-al-kufra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1770617476915-7269d29d27dc,2,Rows of premium Medjool dates on stone surface,,,,,,,,,,,,,,,,,
Extra Virgin Olive Oil — Coastal Groves,coastal-olive-oil,"<p>Cold-pressed within hours of harvest from ancient coastal groves — green-gold intensity with a peppered finish and the clean brightness of early-season fruit. Unfiltered, estate-bottled, and never blended.</p><p><strong>Origin:</strong> Coastal Groves, Tunisia<br><strong>Harvest:</strong> 2025<br><strong>Packaging:</strong> Dark glass bottle<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p><p>Ideal for finishing, dressings, and quiet celebration at the table. Store away from direct light.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils > Olive Oil",Extra Virgin Olive Oil,"olive-oil, evoo, cold-pressed, mediterranean, luxury-food, tunisia",TRUE,Active,ORV-OIL-EVOO-500,,Size,500ml,,,,,,,,54.00,62.00,24.00,TRUE,,500,ml,100,ml,shopify,200,DENY,650,g,TRUE,manual,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5,1,Extra virgin olive oil in dark glass bottle,,FALSE,Extra Virgin Olive Oil Coastal Groves | Cold-Pressed EVOO | Orivana,Cold-pressed extra virgin olive oil from Tunisian coastal groves. Green-gold intensity with a peppered finish. Estate-bottled and manually shipped by Orivana.,"Coastal Groves, Tunisia",Northern Mediterranean Coast,Coastal Grove Estate,2025,public,Glass Bottle,false,"[{""label"":""5L Case"",""quantity"":5,""unit"":""L""},{""label"":""10L Case"",""quantity"":10,""unit"":""L""},{""label"":""25L Case"",""quantity"":25,""unit"":""L""}]","Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils",,,New,FALSE
,coastal-olive-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1416879595882-3373a0480b5b,2,Olive branches from Mediterranean coastal groves,,,,,,,,,,,,,,,,,
Raw Wildflower Honey — Mediterranean Hills,raw-wildflower-honey,"<p>Unprocessed wildflower honey gathered from thyme and rosemary hillsides — thick, luminous, and holding the amber memory of a single Mediterranean season. Never heated, never filtered beyond coarse straining.</p><p><strong>Origin:</strong> Mediterranean Hills, Greece<br><strong>Harvest:</strong> 2025<br><strong>Packaging:</strong> Glass jar<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p><p>Natural crystallization may occur — a sign of raw, unadulterated honey.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Honey",Wildflower Honey,"honey, raw-honey, wildflower, mediterranean, luxury-food, greece",TRUE,Active,ORV-HONEY-WF-350,,Size,350g,,,,,,,,42.00,48.00,18.50,TRUE,,350,g,100,g,shopify,150,DENY,420,g,TRUE,manual,https://images.unsplash.com/photo-1771405317876-616a62efd97e,1,Raw wildflower honey dripping from a wooden dipper,,FALSE,Raw Wildflower Honey Mediterranean Hills | Raw Greek Honey | Orivana,"Raw wildflower honey from Greek Mediterranean hills. Unheated, unfiltered, gathered from wild thyme and rosemary. Manually fulfilled luxury honey from Orivana.","Mediterranean Hills, Greece",Central Peloponnese Hills,Hillside Apiary Collective,2025,public,Glass Jar,false,"[{""label"":""5kg Case"",""quantity"":5,""unit"":""kg""},{""label"":""10kg Case"",""quantity"":10,""unit"":""kg""}]","Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Honey",,,New,FALSE
,raw-wildflower-honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1773957949151-338dedf0edce,2,Raw honeycomb macro showing amber wildflower honey texture,,,,,,,,,,,,,,,,,
Deglet Noor Dates — Oasis Groves,deglet-noor-dates,"<p>The date of light — translucent amber skin with delicate honeyed sweetness and an elegant, firm texture. Selected from oasis groves where underground springs meet desert sun.</p><p><strong>Origin:</strong> Oasis Groves, Tunisia<br><strong>Harvest:</strong> 2025<br><strong>Packaging:</strong> Stone vessel<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p><p>A refined table date — equally at home beside cheese, tea, or quiet morning ritual.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Deglet Noor Dates,"dates, deglet-noor, oasis, mediterranean, luxury-food, tunisia",TRUE,Active,ORV-DATE-DN-500,,Size,500g,,,,,,,,48.00,55.00,21.00,TRUE,,500,g,500,g,shopify,100,DENY,550,g,TRUE,manual,https://images.unsplash.com/photo-1770617476915-7269d29d27dc,1,Deglet Noor dates with translucent amber skin,,FALSE,Deglet Noor Dates Oasis Groves | Premium Tunisian Dates | Orivana,Deglet Noor dates from Tunisian oasis groves. Translucent amber skin with honeyed sweetness. The date of light — luxury dates manually shipped by Orivana.,"Oasis Groves, Tunisia",Southern Tunisian Oasis,Oasis Palm Collective,2025,public,Stone Vessel,false,,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
Seasonal Selection — Spring Harvest,seasonal-harvest-box,"<p>A curated trio of the current harvest — Medjool dates, cold-pressed olive oil, and raw wildflower honey — composed as a single seasonal expression of the Mediterranean table.</p><p><strong>Includes:</strong> Medjool Dates (500g), Extra Virgin Olive Oil (500ml), Raw Wildflower Honey (350g)<br><strong>Harvest:</strong> Spring 2025<br><strong>Packaging:</strong> Luxury gift box with linen lining<br><strong>Fulfillment:</strong> Manually assembled and shipped by Orivana.</p><p>Limited seasonal batch. Inner Circle members receive early access before public release.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Curated Gift Collection,"gift, seasonal, dates, olive-oil, honey, gift-box, mediterranean, luxury-food",TRUE,Active,ORV-GIFT-SEASONAL-SPRING,,Title,Default Title,,,,,,,,145.00,165.00,82.00,TRUE,,,,,,shopify,40,DENY,1800,g,TRUE,manual,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe,1,Seasonal Selection gift box with dates olive oil and honey,,FALSE,Seasonal Selection Spring Harvest Box | Mediterranean Gift | Orivana,"Curated spring harvest gift box: Medjool dates, extra virgin olive oil, and raw wildflower honey. Limited seasonal Mediterranean collection from Orivana.",Mediterranean,Mediterranean Basin,Orivana House,Spring 2025,member,Luxury Gift Box,true,,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",,,New,FALSE
Private Harvest — Autumn Allocation,private-autumn-allocation,"<p>An Inner Circle exclusive — a limited autumn allocation of Medjool and Deglet Noor dates, reserved for members before public release. Two expressions of desert craft in a single reserve box.</p><p><strong>Origin:</strong> Oasis Groves, Tunisia &amp; Al Kufra Valley, Libya<br><strong>Harvest:</strong> Autumn 2025<br><strong>Packaging:</strong> Reserve box<br><strong>Fulfillment:</strong> Manually packed and shipped by Orivana.</p><p>Strictly limited quantity. Available to approved Inner Circle members only.</p>",Orivana,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Limited Harvest,"dates, exclusive, seasonal, inner-circle, member-only, luxury-food",TRUE,Active,ORV-DATE-PRIVATE-AUTUMN,,Size,Limited Box,,,,,,,,185.00,210.00,92.00,TRUE,,,,,,shopify,25,DENY,1200,g,TRUE,manual,https://images.unsplash.com/photo-1770617476915-7269d29d27dc,1,Private Harvest autumn allocation reserve box of premium dates,,FALSE,Private Harvest Autumn Allocation | Inner Circle Exclusive | Orivana,Inner Circle exclusive autumn date allocation. Limited Medjool and Deglet Noor reserve box. Member-only luxury harvest from Orivana.,"Oasis Groves, Tunisia",Southern Tunisian Oasis,Oasis Palm Collective,Autumn 2025,member,Reserve Box,false,,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",,,New,FALSE
